CODE_UAI,CODE_NATURE,NOM_ETABLISSEMENT,ANNEE_SCOLAIRE,MULTI_RYTHME,LUNDI_MATIN_DEBUT,LUNDI_MATIN_FIN,LUNDI_APRES_MIDI_DEBUT,LUNDI_APRES_MIDI_FIN,MARDI_MATIN_DEBUT,MARDI_MATIN_FIN,MARDI_APRES_MIDI_DEBUT,MARDI_APRES_MIDI_FIN,MERCREDI_MATIN_DEBUT,MERCREDI_MATIN_FIN,JEUDI_MATIN_DEBUT,JEUDI_MATIN_FIN,JEUDI_APRES_MIDI_DEBUT,JEUDI_APRES_MIDI_FIN,VENDREDI_MATIN_DEBUT,VENDREDI_MATIN_FIN,VENDREDI_APRES_MIDI_DEBUT,VENDREDI_APRES_MIDI_FIN,SAMEDI_MATIN_DEBUT,SAMEDI_MATIN_FIN,code_commune,COMMUNE,ACADEMIE,DEPARTEMENT,libelle_region,code_region,CODE_DEPARTEMENT,latitude,longitude,position
0900046L,MATERNELLE,ECOLE ELEMENTAIRE PUBLIQUE SAINT GERMAIN LE CHATELET,2020-2021,N,08:35,12:05,14:00,16:30,08:35,12:05,14:00,16:30,,,08:35,12:05,14:00,16:30,08:35,12:05,14:00,16:30,,,90091,Saint-Germain-le-Châtelet,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.699354815499916,6.958829523321572,"47.699354815499916, 6.958829523321572"
0900053U,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE MARIE-FRANCE MOINE,2025-2026,N,08:20,11:40,13:40,16:20,08:20,11:40,13:40,16:20,,,08:20,11:40,13:40,16:20,08:20,11:40,13:40,16:20,,,90087,Roppe,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.67043517,6.919516376,"47.670435172828505, 6.919516375513579"
0900060B,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PHAFFANS,2020-2021,N,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,90080,Phaffans,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.659631904998605,6.935800447333602,"47.659631904998605, 6.935800447333602"
0900060B,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PHAFFANS,2025-2026,N,08:25,11:25,13:25,16:25,08:25,11:25,13:25,16:25,,,08:25,11:25,13:25,16:25,08:25,11:25,13:25,16:25,,,90080,Phaffans,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.6596954,6.93562772,"47.65969540337608, 6.935627720425301"
0900061C,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PETITMAGNY,2020-2021,N,08:35,11:50,13:50,16:35,08:35,11:50,13:50,16:35,,,08:35,11:50,13:50,16:35,08:35,11:50,13:50,16:35,,,90079,Petitmagny,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.726212193116226,6.89774988793188,"47.726212193116226, 6.89774988793188"
0900062D,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PETITEFONTAINE,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90078,Petitefontaine,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.721249427588035,7.007580580068032,"47.721249427588035, 7.007580580068032"
0900062D,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PETITEFONTAINE,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90078,Petitefontaine,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.72139303,7.00791326,"47.721393033459485, 7.007913259814624"
0900065G,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE PEROUSE,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90076,Pérouse,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63690135780903,6.892209829982404,"47.63690135780903, 6.892209829982404"
0900065G,ELEMENTAIRE,ECOLE PRIMAIRE PUBLIQUE PEROUSE,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90076,Pérouse,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63690136,6.89220983,"47.63690135780903, 6.892209829982404"
0900073R,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE MORVILLARS,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90072,Morvillars,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.54795323113432,6.931599747010869,"47.54795323113432, 6.931599747010869"
0900075T,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE JEAN DE LA FONTAINE,2020-2021,N,08:15,11:15,13:15,16:15,08:15,11:15,13:15,16:15,,,08:15,11:15,13:15,16:15,08:15,11:15,13:15,16:15,,,90071,Montreux-Château,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.60970712652062,7.002109829353438,"47.60970712652062, 7.002109829353438"
0900084C,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE LEPUIX NEUF,2025-2026,N,08:40,12:00,14:04,16:44,08:40,12:00,14:04,16:44,,,08:40,12:00,14:04,16:44,08:40,12:00,14:04,16:44,,,90064,Lepuix-Neuf,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.53884147,7.101280586,"47.53884146634136, 7.101280585585141"
0900087F,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE LARIVIERE,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90062,Larivière,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.672363278683925,6.998949625635971,"47.672363278683925, 6.998949625635971"
0900093M,MATERNELLE,ECOLE MATERNELLE PUBLIQUE DU CHANTOISEAU,2025-2026,N,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,90052,Giromagny,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.74479226,6.822070491,"47.74479225583905, 6.822070490736851"
0900110F,MATERNELLE,ECOLE MATERNELLE PUBLIQUE PIERRE DREYFUS-SCHMIDT,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63304006,6.841794645,"47.633040059156386, 6.841794644535294"
